| database |               class | count |
| big_test |                tank |   200 |
| big_test |           telephone |   200 |
| big_test |          television |   200 |
| big_test |               tiger |   200 |
| big_test |          toy+poodle |   200 |
| big_test |             tractor |   200 |
| big_test |               train |   200 |
| big_test |               trout |   200 |
| big_test |               truck |   200 |
| big_test |              tulips |   200 |
| big_test |              turtle |   200 |
| big_test |              vizsla |   200 |
| big_test |            wardrobe |   200 |
| big_test |               whale |   200 |
| big_test |              willow |   200 |
| big_test |                wolf |   200 |
| big_test |               woman |   200 |
| big_test |                worm |   200 |


|      network | database | database_size | features_size |
| ------------ | -------- | ------------- | ------------- |
|   mobile_net |      big |        502000 |        502000 |
| mobile_netV2 |      big |        502000 |        502000 |
|          nas |      big |        502000 |        164000 |
|        vgg16 |      big |        502000 |        502000 |
|         xcep |      big |        502000 |        502000 |
|   mobile_net | big_test |         50200 |         50200 |
| mobile_netV2 | big_test |         50200 |         50200 |
|          nas | big_test |         50200 |         16400 |
|        vgg16 | big_test |         50200 |         50200 |
|         xcep | big_test |         50200 |         50200 |
